AELEC,FELECCION,EDOCVE,EDONOM,MPIOCVE,MPIONOM,SECCION,TIPOSEC,DEF,DEL,SEXO,EDAD,LN,SV,NV,NS
2024,06/02/2024,6,COLIMA,8,Manzanillo,245,U,2,11,1,70,8,6,2,0
2024,06/02/2024,6,COLIMA,10,Tecomán,333,R,2,16,0,61,2,0,2,0
2024,06/02/2024,6,COLIMA,5,Villa de Álvarez,159,U,1,7,0,32,21,11,10,0
2024,06/02/2024,6,COLIMA,10,Tecomán,312,U,2,15,1,81,3,1,2,0
2024,06/02/2024,6,COLIMA,3,Coquimatlán,117,M,1,5,1,88,2,1,1,0
2024,06/02/2024,6,COLIMA,8,Manzanillo,398,U,2,11,1,44,22,12,10,0
2024,06/02/2024,6,COLIMA,5,Villa de Álvarez,351,U,1,8,1,73,1,1,0,0
2024,06/02/2024,6,COLIMA,2,Comala,104,M,1,4,1,76,2,1,1,0
2024,06/02/2024,6,COLIMA,1,Colima,81,M,1,2,0,48,28,17,11,0
2024,06/02/2024,6,COLIMA,1,Colima,81,M,1,2,0,69,11,7,4,0
2024,06/02/2024,6,COLIMA,1,Colima,81,M,1,2,0,74,4,2,2,0
2024,06/02/2024,6,COLIMA,1,Colima,76,M,1,3,0,67,10,7,3,0
2024,06/02/2024,6,COLIMA,1,Colima,399,M,1,3,0,43,30,11,14,5
2024,06/02/2024,6,COLIMA,2,Comala,92,M,1,4,0,20,31,17,14,0
2024,06/02/2024,6,COLIMA,5,Villa de Álvarez,387,M,1,4,0,42,35,22,13,0
2024,06/02/2024,6,COLIMA,2,Comala,96,M,1,4,0,43,12,6,6,0
2024,06/02/2024,6,COLIMA,5,Villa de Álvarez,386,M,1,4,0,47,15,13,2,0
2024,06/02/2024,6,COLIMA,2,Comala,93,M,1,4,0,49,14,10,4,0
2024,06/02/2024,6,COLIMA,2,Comala,103,M,1,4,0,57,11,6,5,0
2024,06/02/2024,6,COLIMA,2,Comala,103,M,1,4,0,75,7,5,2,0
2024,06/02/2024,6,COLIMA,5,Villa de Álvarez,387,M,1,4,0,80,7,6,1,0
