AELEC,FELECCION,EDOCVE,EDONOM,MPIOCVE,MPIONOM,SECCION,TIPOSEC,DEF,DEL,SEXO,EDAD,LN,SV,NV,NS
2012,1/7/2012,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,18,6,2,4,0
2012,1/7/2012,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,19,10,6,4,0
2012,1/7/2012,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,20,6,5,1,0
2012,1/7/2012,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,21,7,3,4,0
2012,1/7/2012,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,22,5,3,2,0
2012,1/7/2012,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,23,7,3,4,0
2012,1/7/2012,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,24,6,4,2,0
2012,1/7/2012,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,25,11,6,5,0
2012,1/7/2012,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,26,9,6,3,0
2012,1/7/2012,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,27,2,2,0,0
2012,1/7/2012,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,28,5,2,3,0
2012,1/7/2012,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,29,9,4,5,0
2012,1/7/2012,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,30,5,2,3,0
2012,1/7/2012,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,31,7,1,6,0
2012,1/7/2012,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,32,9,5,4,0
2012,1/7/2012,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,33,4,2,2,0
2012,1/7/2012,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,34,5,2,3,0
2012,1/7/2012,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,35,5,2,3,0
2012,1/7/2012,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,36,5,5,0,0
2012,1/7/2012,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,37,3,2,1,0
2012,1/7/2012,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,38,4,2,2,0
2012,1/7/2012,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,39,6,4,2,0
2012,1/7/2012,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,40,4,2,2,0
2012,1/7/2012,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,41,5,1,4,0
2012,1/7/2012,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,42,8,3,5,0
2012,1/7/2012,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,43,7,3,4,0
2012,1/7/2012,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,44,5,4,1,0
2012,1/7/2012,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,45,10,8,2,0
2012,1/7/2012,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,46,11,6,5,0
2012,1/7/2012,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,47,3,2,1,0
2012,1/7/2012,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,48,8,3,5,0
2012,1/7/2012,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,49,9,6,3,0
2012,1/7/2012,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,50,10,6,4,0
2012,1/7/2012,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,51,5,3,2,0
2012,1/7/2012,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,52,8,4,4,0
2012,1/7/2012,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,53,6,4,2,0
2012,1/7/2012,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,54,5,4,1,0
2012,1/7/2012,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,55,4,4,0,0
2012,1/7/2012,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,56,6,3,3,0
2012,1/7/2012,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,57,3,3,0,0
2012,1/7/2012,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,58,5,2,3,0
2012,1/7/2012,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,59,6,5,1,0
2012,1/7/2012,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,60,1,0,1,0
2012,1/7/2012,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,61,2,1,1,0
2012,1/7/2012,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,62,1,0,1,0
2012,1/7/2012,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,63,2,2,0,0
2012,1/7/2012,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,64,2,1,1,0
2012,1/7/2012,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,66,1,1,0,0
2012,1/7/2012,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,67,3,3,0,0
2012,1/7/2012,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,68,4,3,1,0
2012,1/7/2012,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,69,5,4,1,0
2012,1/7/2012,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,70,4,4,0,0
2012,1/7/2012,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,71,4,4,0,0
2012,1/7/2012,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,72,4,2,2,0
2012,1/7/2012,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,73,4,3,1,0
2012,1/7/2012,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,75,2,2,0,0
2012,1/7/2012,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,76,7,7,0,0
2012,1/7/2012,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,77,1,0,1,0
2012,1/7/2012,3,BAJA CALIFORNIA SUR,1,Comondú,1,U,1,11,0,78,2,1,1,0
