AELEC,FELECCION,EDOCVE,EDONOM,MPIOCVE,MPIONOM,SECCION,TIPOSEC,DEF,DEL,SEXO,EDAD,LN,SV,NV,NS
2012,1/7/2012,6,COLIMA,1,Colima,1,U,1,6,0,18,44,40,4,0
2012,1/7/2012,6,COLIMA,1,Colima,1,U,1,6,0,19,51,40,11,0
2012,1/7/2012,6,COLIMA,1,Colima,1,U,1,6,0,20,53,39,14,0
2012,1/7/2012,6,COLIMA,1,Colima,1,U,1,6,0,21,57,35,22,0
2012,1/7/2012,6,COLIMA,1,Colima,1,U,1,6,0,22,55,35,20,0
2012,1/7/2012,6,COLIMA,1,Colima,1,U,1,6,0,23,52,33,19,0
2012,1/7/2012,6,COLIMA,1,Colima,1,U,1,6,0,24,61,41,20,0
2012,1/7/2012,6,COLIMA,1,Colima,1,U,1,6,0,25,45,29,16,0
2012,1/7/2012,6,COLIMA,1,Colima,1,U,1,6,0,26,42,30,12,0
2012,1/7/2012,6,COLIMA,1,Colima,1,U,1,6,0,27,37,19,18,0
2012,1/7/2012,6,COLIMA,1,Colima,1,U,1,6,0,28,32,16,16,0
2012,1/7/2012,6,COLIMA,1,Colima,1,U,1,6,0,29,38,21,17,0
2012,1/7/2012,6,COLIMA,1,Colima,1,U,1,6,0,30,36,26,10,0
2012,1/7/2012,6,COLIMA,1,Colima,1,U,1,6,0,31,32,14,18,0
2012,1/7/2012,6,COLIMA,1,Colima,1,U,1,6,0,32,43,20,23,0
2012,1/7/2012,6,COLIMA,1,Colima,1,U,1,6,0,33,17,7,10,0
2012,1/7/2012,6,COLIMA,1,Colima,1,U,1,6,0,34,30,20,10,0
2012,1/7/2012,6,COLIMA,1,Colima,1,U,1,6,0,35,31,17,14,0
2012,1/7/2012,6,COLIMA,1,Colima,1,U,1,6,0,36,32,23,9,0
2012,1/7/2012,6,COLIMA,1,Colima,1,U,1,6,0,37,40,26,14,0
2012,1/7/2012,6,COLIMA,1,Colima,1,U,1,6,0,38,38,29,9,0
2012,1/7/2012,6,COLIMA,1,Colima,1,U,1,6,0,39,34,29,5,0
2012,1/7/2012,6,COLIMA,1,Colima,1,U,1,6,0,40,35,25,10,0
2012,1/7/2012,6,COLIMA,1,Colima,1,U,1,6,0,41,34,22,12,0
2012,1/7/2012,6,COLIMA,1,Colima,1,U,1,6,0,42,43,33,10,0
2012,1/7/2012,6,COLIMA,1,Colima,1,U,1,6,0,43,30,18,12,0
2012,1/7/2012,6,COLIMA,1,Colima,1,U,1,6,0,44,36,29,7,0
2012,1/7/2012,6,COLIMA,1,Colima,1,U,1,6,0,45,39,32,7,0
2012,1/7/2012,6,COLIMA,1,Colima,1,U,1,6,0,46,42,32,10,0
2012,1/7/2012,6,COLIMA,1,Colima,1,U,1,6,0,47,39,31,8,0
2012,1/7/2012,6,COLIMA,1,Colima,1,U,1,6,0,48,44,35,9,0
2012,1/7/2012,6,COLIMA,1,Colima,1,U,1,6,0,49,43,36,7,0
2012,1/7/2012,6,COLIMA,1,Colima,1,U,1,6,0,50,41,38,3,0
2012,1/7/2012,6,COLIMA,1,Colima,1,U,1,6,0,51,37,34,3,0
2012,1/7/2012,6,COLIMA,1,Colima,1,U,1,6,0,52,52,43,9,0
